"13300000","7420","4","2","3","yes","no","no_1","no_2","yes_1","2_1","yes_2","furnished"
4480000,4040,3,1,2,true,false,false,false,false,1,false,"semi-furnished"
4473000,6360,2,1,1,true,false,true,false,true,1,false,"furnished"
4473000,3162,3,1,2,true,false,false,false,true,1,false,"furnished"
4403000,4920,3,1,2,true,false,false,false,false,1,false,"semi-furnished"
4340000,4500,3,2,3,true,false,false,true,false,1,false,"furnished"
4305000,4400,2,1,1,true,false,false,false,false,1,false,"semi-furnished"
4305000,10360,2,1,1,true,false,false,false,false,1,true,"semi-furnished"
4270000,7770,2,1,1,true,false,false,false,false,1,false,"furnished"
4200000,4410,2,1,1,false,false,false,false,false,1,false,"unfurnished"
4200000,4600,3,2,2,true,false,false,false,true,1,false,"semi-furnished"
4200000,2145,3,1,3,true,false,false,false,false,1,true,"unfurnished"
4193000,3450,3,1,2,true,false,false,false,false,1,false,"semi-furnished"
4165000,4840,3,1,2,true,false,false,false,false,1,false,"semi-furnished"
4165000,4046,3,1,2,true,false,true,false,false,1,false,"semi-furnished"
4123000,6060,2,1,1,true,false,true,false,false,1,false,"semi-furnished"
4095000,4040,2,1,2,true,false,false,false,false,1,false,"semi-furnished"
4060000,5900,4,2,2,false,false,true,false,false,1,false,"unfurnished"
4025000,3460,3,2,1,true,false,true,false,true,1,false,"furnished"
3990000,6480,3,1,2,false,false,false,false,true,1,false,"semi-furnished"
3920000,3290,2,1,1,true,false,false,true,false,1,false,"furnished"
3780000,3420,2,1,2,true,false,false,true,false,1,false,"semi-furnished"
3780000,8400,2,1,1,true,false,false,false,false,1,false,"furnished"
3773000,2520,5,2,1,false,false,true,false,true,1,false,"furnished"
3773000,6930,4,1,2,false,false,false,false,false,1,false,"furnished"
3710000,3600,3,1,1,true,false,false,false,false,1,false,"unfurnished"
3500000,3600,6,1,2,true,false,false,false,false,1,false,"unfurnished"
3500000,3640,2,1,1,true,false,false,false,false,1,false,"semi-furnished"
3500000,5900,2,1,1,true,false,false,false,false,1,false,"furnished"
3500000,3120,3,1,2,true,false,false,false,false,1,false,"unfurnished"
3500000,7350,2,1,1,true,false,false,false,false,1,false,"semi-furnished"
3500000,3512,2,1,1,true,false,false,false,false,1,true,"unfurnished"
3465000,5320,2,1,1,true,false,false,false,false,1,true,"unfurnished"
3395000,4785,3,1,2,true,true,true,false,true,1,false,"furnished"
3325000,4040,2,1,1,true,false,false,false,false,1,false,"unfurnished"
3290000,3480,4,1,2,false,false,false,false,false,1,false,"semi-furnished"
3290000,5880,3,1,1,true,false,false,false,false,1,false,"unfurnished"
3220000,2684,2,1,1,true,false,false,false,true,1,false,"unfurnished"
3220000,4320,3,1,1,false,false,false,false,false,1,false,"unfurnished"
3150000,3986,2,2,1,false,true,true,false,false,1,false,"unfurnished"
3150000,3069,2,1,1,true,false,false,false,false,1,false,"unfurnished"
3087000,8100,2,1,1,true,false,false,false,false,1,false,"unfurnished"
3080000,4500,2,1,2,true,false,false,true,false,1,false,"semi-furnished"
2975000,4352,4,1,2,false,false,false,false,false,1,false,"unfurnished"
2940000,5850,3,1,2,true,false,true,false,false,1,false,"unfurnished"
2940000,3600,3,1,2,false,false,false,false,false,1,false,"unfurnished"
2940000,3480,3,1,2,false,false,false,false,false,1,false,"semi-furnished"
2835000,3300,3,1,2,false,false,false,false,false,1,false,"semi-furnished"
2835000,4350,3,1,2,false,false,false,true,false,1,false,"unfurnished"
2835000,2640,2,1,1,false,false,false,false,false,1,false,"furnished"
2800000,2650,3,1,2,true,false,true,false,false,1,false,"unfurnished"
2730000,4000,3,1,2,true,false,false,false,false,1,false,"unfurnished"
2660000,3480,2,1,1,true,false,false,false,false,1,false,"semi-furnished"
2590000,3600,2,2,2,true,false,true,false,false,1,false,"furnished"
2450000,3240,2,1,1,false,true,false,false,false,1,false,"unfurnished"
2450000,3000,2,1,1,true,false,false,false,false,1,false,"unfurnished"
2100000,3360,2,1,1,true,false,false,false,false,1,false,"unfurnished"
1855000,2990,2,1,1,false,false,false,false,false,1,false,"unfurnished"
